Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
254,00:00:10.594,12.887540509259258,11.039027777777777,12.415850694444444,15.207743055555556
255,00:00:10.636,14.44035300925926,13.0428125,15.155138888888889,15.12310763888889
256,00:00:10.677,16.95013888888889,15.836128472222223,17.721041666666668,17.29324652777778
257,00:00:10.719,13.709658564814816,13.2471875,14.854131944444445,13.02765625
258,00:00:10.761,15.547696759259258,15.464878472222223,16.583854166666665,14.594357638888889
259,00:00:10.802,17.068015046296296,15.491024305555555,19.827291666666667,15.885729166666666
260,00:00:10.844,12.982158564814815,11.904861111111112,15.113194444444444,11.928420138888889
261,00:00:10.886,9.089253472222223,7.354791666666666,10.705208333333333,9.207760416666666
262,00:00:10.928,13.54738425925926,11.838472222222222,13.778402777777778,15.025277777777777
263,00:00:10.969,15.161649305555557,12.764930555555555,17.793229166666666,14.926788194444445
264,00:00:11.011,14.079241898148148,12.956875,16.178663194444443,13.1021875
265,00:00:11.053,11.805451388888889,9.876475694444444,13.692239583333333,11.84763888888889
266,00:00:11.094,15.148755787037038,13.97265625,16.03565972222222,15.437951388888889
267,00:00:11.136,15.739762731481482,15.901024305555556,16.155694444444446,15.162569444444445
268,00:00:11.178,11.860399305555555,11.309270833333333,11.616510416666667,12.655416666666667
269,00:00:11.220,7.189866898148147,5.778489583333333,7.10546875,8.68564236111111
270,00:00:11.261,11.254375000000001,9.059513888888889,11.78329861111111,12.9203125
271,00:00:11.303,13.527025462962962,11.406180555555556,15.038576388888888,14.136319444444444
272,00:00:11.345,15.767482638888888,13.678489583333333,17.764895833333334,15.8590625
273,00:00:11.386,14.985815972222222,14.293576388888889,15.941475694444444,14.722395833333334
274,00:00:11.428,13.722187499999999,12.699826388888889,14.835052083333334,13.631684027777778
275,00:00:11.470,15.818061342592593,16.16220486111111,16.192274305555557,15.09970486111111
276,00:00:11.511,12.981527777777778,11.52921875,14.972708333333333,12.44265625
277,00:00:11.553,10.740746527777778,8.820642361111112,13.014826388888888,10.386770833333333
278,00:00:11.595,8.522008101851853,6.988159722222222,9.574774305555556,9.003090277777778
279,00:00:11.637,13.05441550925926,10.97234375,12.920902777777778,15.27
280,00:00:11.678,13.705387731481482,11.096059027777779,15.395572916666667,14.62453125
281,00:00:11.720,13.600613425925927,12.95486111111111,14.927048611111111,12.919930555555556
282,00:00:11.762,12.367829861111112,11.471996527777778,13.614878472222221,12.016614583333334
283,00:00:11.803,13.923408564814816,13.303142361111112,14.616927083333334,13.85015625
284,00:00:11.845,14.601313657407408,15.06079861111111,14.364635416666667,14.378506944444444
285,00:00:11.887,11.403003472222224,10.824149305555556,11.493402777777778,11.891458333333333
286,00:00:11.929,7.71454861111111,6.410034722222222,8.744010416666667,7.989600694444444
287,00:00:11.970,8.665480324074073,7.712395833333333,8.535625,9.74842013888889
288,00:00:12.012,13.035069444444444,10.401909722222221,13.794253472222222,14.909045138888889
289,00:00:12.054,14.305104166666666,11.693333333333333,16.537256944444444,14.684722222222222
290,00:00:12.095,38.154704861111114,24.891753472222224,54.534565972222225,35.03779513888889
291,00:00:12.137,5.7302835648148145,3.4669444444444446,7.353090277777778,6.370815972222222
292,00:00:12.179,3.8945254629629624,2.4658680555555557,4.9685243055555555,4.249184027777778
293,00:00:12.221,3.869369212962963,2.3922048611111113,4.934461805555555,4.281440972222223
294,00:00:12.262,5.64824074074074,3.311736111111111,7.535902777777777,6.097083333333333
295,00:00:12.304,5.872609953703704,3.3200173611111112,7.72390625,6.57390625
296,00:00:12.346,4.808541666666667,2.69484375,6.3560590277777775,5.374722222222222
297,00:00:12.387,2.490271990740741,1.3862673611111112,3.0533159722222223,3.031232638888889
298,00:00:12.429,4.509982638888889,2.4042013888888887,6.019600694444445,5.106145833333334
299,00:00:12.471,6.170376157407407,3.6231423611111113,7.935798611111111,6.9521875
300,00:00:12.512,5.871753472222223,3.6384375,7.3414930555555555,6.635329861111111
301,00:00:12.554,3.4107407407407404,2.107986111111111,4.276440972222222,3.847795138888889
302,00:00:12.596,3.8124594907407405,2.303628472222222,5.108038194444444,4.025711805555556
303,00:00:12.638,4.705405092592593,2.847447916666667,6.445920138888889,4.822847222222222
304,00:00:12.679,4.201226851851852,2.4588368055555554,5.572065972222222,4.572777777777778
305,00:00:12.721,2.96640625,1.641736111111111,3.953732638888889,3.30375
306,00:00:12.763,2.356834490740741,1.3873958333333334,2.904635416666667,2.7784722222222222
307,00:00:12.804,4.369907407407407,2.4221875,5.93859375,4.748940972222222
308,00:00:12.846,5.068263888888889,2.8888194444444446,6.623628472222222,5.69234375
309,00:00:12.888,3.7547164351851854,2.37984375,4.841284722222222,4.043020833333333
310,00:00:12.930,3.494612268518518,2.132204861111111,4.388229166666667,3.9634027777777776
311,00:00:12.971,5.844374999999999,3.4681076388888887,7.709375,6.355642361111111
312,00:00:13.013,6.205949074074074,3.5469097222222223,7.98796875,7.08296875
313,00:00:13.055,5.113726851851852,2.8926736111111113,6.543923611111111,5.904583333333333
314,00:00:13.096,2.8940740740740742,1.6413888888888888,3.4728298611111112,3.5680034722222222
315,00:00:13.138,4.3517476851851855,2.5272916666666667,5.475104166666667,5.052847222222222
316,00:00:13.180,6.2803356481481485,3.6201041666666667,8.015364583333334,7.205538194444444
317,00:00:13.222,6.19921875,3.692465277777778,7.5965625,7.308628472222222
318,00:00:13.263,3.7972800925925925,2.337951388888889,4.724722222222222,4.329166666666667
319,00:00:13.305,3.695792824074074,2.1830381944444444,4.8565451388888885,4.047795138888889
320,00:00:13.347,4.662650462962962,2.8093229166666664,6.304618055555555,4.874010416666667
321,00:00:13.388,4.160659722222222,2.3542708333333335,5.55484375,4.572864583333334
322,00:00:13.430,3.147089120370371,1.8038541666666668,4.095173611111111,3.5422395833333336
323,00:00:13.472,2.3728761574074073,1.1999305555555555,3.1546875,2.764010416666667
324,00:00:13.513,3.996226851851852,2.0582291666666666,5.589635416666667,4.340815972222222
325,00:00:13.555,5.113576388888888,2.760034722222222,6.755121527777778,5.825572916666666
326,00:00:13.597,4.540081018518518,2.6819618055555554,5.994253472222222,4.9440277777777775
327,00:00:13.639,3.231875,1.6258680555555556,4.117465277777778,3.9522916666666665
328,00:00:13.680,5.363582175925926,3.0196354166666666,7.24796875,5.8231423611111115
329,00:00:13.722,5.851128472222222,3.272378472222222,7.695885416666667,6.585121527777778
330,00:00:13.764,4.94509837962963,2.6646354166666666,6.488836805555556,5.6818229166666665
331,00:00:13.805,2.618292824074074,1.4044270833333334,3.1905381944444446,3.2599131944444446
332,00:00:13.847,4.2233275462962965,2.31765625,5.465277777777778,4.887048611111111
